mr,ref
"day[1 4], month[9], year[2015]","It is September the fourteenth , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[1], year[2005]","It is eighteen January 2005 .","-1 -1 0 2 3 -1"
"day[0 4], month[8], year[2013]","Today is August the fourth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[2 9], month[4], year[2019]","Today is twenty nine April 2019 .","-1 -1 0 0 2 3 -1"
"day[2 8], month[8], year[2004]","The date is August the twenty eighth of the year 2004 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[3 1], month[9], year[2006]","Today is September thirty one in the year 2006 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[12], year[2004]","It is December fifteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[2], year[2008]","It is five February 2008 .","-1 -1 0 2 3 -1"
"day[0 9], month[6], year[2011]","Today is June the ninth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[2], year[2005]","Today is February seven in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[9], year[2007]","It is nine September of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[7], year[2008]","Today is the twenty fourth of July in the year 2008 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[4], year[2012]","Today is April fourteen , 2012 .","-1 -1 2 0 4 3 -1"
"day[2 7], month[9], year[2006]","It is the twenty seventh of September , 2006 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 3], month[9], year[2002]","Today is thirteen September 2002 .","-1 -1 0 2 3 -1"
"day[1 9], month[8], year[2011]","Today is nineteen August 2011 .","-1 -1 0 2 3 -1"
"day[0 9], month[2], year[2000]","The date is February the ninth , 2000 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 8], month[6], year[2012]","Today is June the eighth of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[8], year[2016]","It is twenty six August of the year 2016 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 0], month[3], year[2001]","Today is thirty March 2001 .","-1 -1 0 2 3 -1"
"day[2 3], month[10], year[2008]","Today is October twenty three in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 9], month[4], year[2017]","Today is the nineteenth of April , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[10], year[2019]","It is the twenty sixth of October in the year 2019 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[8], year[2006]","The date is August thirteen , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[1 7], month[4], year[2010]","It is seventeen April of the year 2010 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 1], month[3], year[2006]","It is March the twenty first , 2006 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 3], month[12], year[2016]","Today is December twenty three in the year 2016 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 5], month[11], year[2009]","Today is the fifth of November , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[6], year[2006]","It is June the twenty fifth of the year 2006 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[3], year[2011]","It is March the twenty fifth of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 5], month[8], year[2016]","The date is August fifteen , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[2 1], month[3], year[2018]","It is March twenty one , 2018 .","-1 -1 2 0 0 4 3 -1"
"day[1 2], month[12], year[2002]","The date is December the twelfth of the year 2002 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
