mr,ref
"day[0 6], month[11], year[2016]","It is six November of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[10], year[2015]","Today is October the twelfth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[2], year[2007]","Today is twelve February of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[6], year[2016]","The date is twenty seven June 2016 .","-1 -1 -1 0 0 2 3 -1"
"day[3 1], month[9], year[2002]","The date is the thirty first of September in the year 2002 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[9], year[2013]","Today is September the thirtieth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[2], year[2019]","Today is February the second of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[12], year[2012]","Today is December the thirtieth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[2 6], month[5], year[2013]","Today is May twenty six , 2013 .","-1 -1 2 0 0 4 3 -1"
"day[1 4], month[10], year[2002]","It is October the fourteenth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[6], year[2012]","The date is June twenty seven in the year 2012 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[2], year[2019]","It is February twenty in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[11], year[2013]","The date is November thirteen in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[10], year[2005]","Today is October the tenth of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[9], year[2002]","It is September the seventh , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[2 3], month[9], year[2017]","It is twenty three September 2017 .","-1 -1 0 0 2 3 -1"
"day[2 0], month[7], year[2005]","Today is July the twentieth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[0 1], month[1], year[2018]","The date is January one in the year 2018 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[9], year[2012]","The date is September sixteen , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[2 4], month[12], year[2015]","It is December the twenty fourth of the year 2015 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 6], month[9], year[2004]","Today is September the twenty sixth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 4], month[5], year[2020]","Today is May fourteen in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[1], year[2016]","The date is January fourteen in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[4], year[2019]","It is April twenty nine in the year 2019 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[7], year[2012]","Today is twenty July 2012 .","-1 -1 0 2 3 -1"
"day[2 4], month[8], year[2016]","The date is August twenty four , 2016 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 7], month[11], year[2013]","Today is seven November 2013 .","-1 -1 0 2 3 -1"
"day[2 3], month[12], year[2005]","The date is the twenty third of December , 2005 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
